field_name,source_dataset,data_type,description,transformation,business_meaning
txn_id,track1_upi_transactions.csv,VARCHAR,Unique UPI transaction identifier,Standardized to TXN000XXXXX,Primary key for transaction tracking
timestamp,track1_upi_transactions.csv,TIMESTAMP,Transaction execution timestamp,Harmonized Unix epoch and string datetimes to ISO 8601,Time of payment initiation
user_id,track1_upi_transactions.csv / track1_kyc_records.csv,VARCHAR,Customer / Payer identifier,Standardized to USRXXXXX,Identifies the initiating customer
merchant_id,track1_upi_transactions.csv / track1_merchants_master.csv,VARCHAR,Merchant / Payee identifier,Standardized to MCHXXXX,Identifies the receiving business entity
amount_clean,track1_upi_transactions.csv,DOUBLE,Transaction value in INR,Exact signed value preserved without abs(),Monetary value of the UPI transfer
amount_raw,track1_upi_transactions.csv,VARCHAR,Original raw transaction amount string,Preserved unmodified,Forensic audit trail
negative_amount_flag,track1_upi_transactions.csv,BOOLEAN,Flag indicating negative transaction value,amount_clean < 0,Reversal / debit adjustment indicator
invalid_amount_flag,track1_upi_transactions.csv,BOOLEAN,Flag indicating unparseable amount,Parse failure indicator,Data quality anomaly
utr_clean,track1_upi_transactions.csv,VARCHAR,Cleaned Unique Transaction Reference,Trimmed and uppercased,Banking reference for interbank settlement
utr_raw,track1_upi_transactions.csv,VARCHAR,Original raw UTR string,Preserved unmodified,Forensic audit trail
is_utr_missing,track1_upi_transactions.csv,BOOLEAN,Flag indicating missing UTR reference,Computed boolean condition,Key anomaly signal for settlement failures
mcc,track1_upi_transactions.csv / track1_merchants_master.csv,VARCHAR,Merchant Category Code (4 digits),Preserved from raw transaction,Standard industry classification code
status,track1_upi_transactions.csv,VARCHAR,Transaction execution state,Mapped 12+ raw strings to SUCCESS FAILED PENDING,Final payment gateway settlement state
is_unmatched_kyc,track1_upi_transactions.csv,BOOLEAN,Referential integrity flag for missing KYC profile,Foreign key validation check,Audit tracking for unlinked customers
is_unmatched_merchant,track1_upi_transactions.csv,BOOLEAN,Referential integrity flag for missing Merchant record,Foreign key validation check,Audit tracking for unlinked merchants
full_name,track1_kyc_records.csv,VARCHAR,Customer full name,Trimmed and title-cased,Legal name of account holder
pan_raw,track1_kyc_records.csv,VARCHAR,Original raw PAN string,Preserved unmodified,Forensic audit trail
pan_normalized,track1_kyc_records.csv,VARCHAR,Normalized PAN string,Trimmed and uppercased without character replacement,Canonical identifier
pan_validity_status,track1_kyc_records.csv,VARCHAR,PAN format validation result,Regex checked against [A-Z]{5}[0-9]{4}[A-Z],Tax compliance validation status
pan_masked,track1_kyc_records.csv,VARCHAR,Masked Permanent Account Number,PII masking (XX..XX) for UI/display,Tax identity masked for privacy governance
aadhaar_raw,track1_kyc_records.csv,VARCHAR,Original raw Aadhaar string,Preserved unmodified,Forensic audit trail
aadhaar_normalized,track1_kyc_records.csv,VARCHAR,Normalized Aadhaar digits,Non-digit characters stripped,Canonical 12-digit UID
aadhaar_validity_status,track1_kyc_records.csv,VARCHAR,Aadhaar format validation result,Checked for exact 12-digit numerical string,National identity validation status
